clause,clauseid,resid,actor,regularized_actors,sentiment_label,active_ind,recoded
"Demands that the Government of Sudan and the Government of South Sudan continue to facilitate the deployment of the United Nations Mine Action Service (UNMAS) to ensure freedom of movement, as well as the identification and clearance of mines in the Abyei Area and SDBZ;",8662,2416,Conflict parties,"['Government', 'United Nations']","[-1, 0]",1,1
"Strongly condemning all violations of human rights and international humanitarian law in the Darfur region, in particular the continuation of violence against civilians and sexual violence against women and girls since the adoption of resolution 1574 (2004), urging all parties to take necessary steps to prevent further violations, and expressing its determination to ensure that those responsible for all such violations are identified and brought to justice without delay,",8755,1590,Conflict parties,"['Conflict Parties', 'Women and Children']","[-1, 1]",1,1
"Condemns the intermittent presence of South Sudan security service personnel and the deployment of Diffra Oil Police units in the Abyei Area, as well as the repeated entry of armed militias into the territory, and reiterates its demands that immediately and without preconditions the Government of South Sudan full redeploy its security service personnel from the Abyei Area and that the Government of Sudan redeploy the Oil Police in Diffra from the Abyei Area, and further reiterates, in accordance with relevant resolutions, in particular resolution 1990 (2011) and resolution 2046 (2012), that the Abyei Area shall be demilitarized from any forces, as well as armed elements of the local communities, other than UNISFA and the Abyei Police Service;",8872,2230,Govt,"['Government', 'Police']","[-1, -1]",1,1
Demands that the Government of Sudan and the Government of South Sudan continue to facilitate the deployment of the United Nations Mine Action Service (UNMAS) to ensure JBVMM freedom of movement as well as the identification and clearance of mines in the Abyei Area and SDBZ;,8879,2230,Conflict parties,"['Conflict Parties', 'UN Organizations']","[-1, 0]",1,1
"Expressing further concern that the situation in Libya is exacerbated by the smuggling of migrants and human trafficking into, through and from the Libyan territory, which could provide support to other organised crime and terrorist networks in Libya,",9183,2240,terrorists,['Terrorists'],[-1],1,1
"Expressing deep concern at persistent restrictions placed upon the movement and operations of UNMISS, strongly condemning the attacks by government and opposition forces and other groups on United Nations personnel and facilities, including the December 2012 downing of a United Nations helicopter by the SPLA, the April 2013 attack on a United Nations convoy, the December 2013 attack on the UNMISS camp in Akobo, and the 2014 attacks on the UNMISS camp in Bor, and calling upon the Government of South Sudan to complete its investigations of these attacks in a swift and thorough manner and to hold those responsible to account,",9271,2155,Conflict parties,"['Peacekeeping', 'Conflict Parties', 'Government']","[0, -1, -1]",1,1
"Reaffirming that terrorism in all forms and manifestations constitutes one of the most serious threats to international peace and security and that any acts of terrorism are criminal and unjustifiable regardless of their motivations, whenever and by whomsoever committed, and remaining determined to contribute further to enhancing the effectiveness of the overall effort to fight this scourge on a global level,",9523,2617,terrorists,['Terrorists'],[-1],0,1
"Strongly condemning all fighting, including violence and casualties that resulted from recent defections, and other violations of the 21 December 2017 Agreement on Cessation of Hostilities, Protection of Civilians, and Humanitarian Access (the ACOH) and the permanent ceasefire provisions of the Revitalised Agreement, welcoming the rapid assessment of violations by the Ceasefire and Transitional Security Arrangements Monitoring and Verification Mechanism (CTSAMVM), encouraging IGAD to share reports with the Security Council rapidly, and noting that the African Union, IGAD, and the United Nations Security Council demanded that parties that violate the ACOH must be held accountable,",9636,2567,Conflict parties,"['Conflict Parties', 'UN Organizations']","[-1, 1]",1,1
"Monitoring, investigating, and reporting on violations of international humanitarian law and violations and abuses of human rights: (i) To monitor, investigate, verify, and report immediately, publicly, and regularly on abuses and violations of human rights and violations of international humanitarian law, including those that may amount to war crimes or crimes against humanity; (ii) To monitor, investigate, verify and report specifically and publicly on violations and abuses committed against women and children, including those involving all forms of sexual and gender-based violence in armed conflict, and accelerate implementation of monitoring, analysis and reporting arrangements on conflict-related sexual violence and by strengthening the monitoring and reporting mechanism for violations and abuses against children; (iii) To monitor, investigate and report on incidents of hate speech and incitement to violence in cooperation with the UN Special Adviser on the Prevention of Genocide; (iv) To coordinate with, share appropriate information with, and provide technical support to international, regional, and national mechanisms engaged in monitoring, investigating, and reporting on violations of international humanitarian law and human rights violations and abuses, including those that may amount to war crimes or crimes against humanity, as appropriate;",9664,2567,Conflict parties,['Peacekeeping'],[0],1,1
"Demands that the Government of South Sudan (GoSS) comply with the obligations set out in the SOFA between the GoSS and the United Nations, and immediately cease obstructing UNMISS in the performance of its mandate, and calls on the GoSS to take action, to deter, and to hold those responsible to account for any hostile or other actions that impede UNMISS or international and national humanitarian actors, reminds the GoSS that, pursuant to the SOFA, UNMISS does not require prior authorization or permission to undertake its mandated tasks, affirms the critical importance of the ability of UNMISS to use all of its bases without restrictions in order to execute its mandate including, but not limited to, its base in Tomping, adjacent to Juba International Airport, which is essential for the Missions operations and security, and urges the GoSS to facilitate the smooth functioning of all UNMISS bases and to build an environment of mutual cooperation for UNMISS and its partners to conduct their work;",9669,2567,Govt,"['Government', 'Peacekeeping']","[-1, 0]",1,1
"Recalling its deep concern at the military use of schools in contravention of applicable international law, recognising that such use may render schools legitimate targets of attack, thus endangering childrens and teachers safety as well as childrens education,",9774,2573,Conflict parties,['Conflict Parties'],[-1],1,1
"Condemns human rights violations in, and relating to, Darfur, including arbitrary arrests and detentions, expresses deep concern about the situation of all those so detained, including civil society members and IDPs, and emphasizes the importance of ensuring UNAMID, within its current mandate, and other relevant organisations ability to monitor such cases; calls on the Government of Sudan fully to respect its obligations, including by fulfilling its commitment to lift the state of emergency in Darfur, releasing all political prisoners, allowing free expression and undertaking effective efforts to ensure accountability for serious violations of international human rights and humanitarian law, by whomsoever perpetrated, and emphasizes the importance of UNAMID acting to promote human rights, bring abuses to the attention of the authorities, and to report gross violations to the Security Council;",9915,2003,Govt,"['Government', 'Peacekeeping']","[-1, 0]",1,1
"Expressing its outrage at the reported attacks in Betun, West Timor on 7 September 2000, in which a number of refugees reportedly have been killed,",10120,1319,terrorists,['Terrorists'],[-1],0,1
"Expressing its concern that the illicit export of petroleum, including crude oil and refined petroleum products, from Libya undermines the Government of Libya and National Oil Corporation and poses a threat to the peace, security and stability of Libya, and noting with concern the reports of the illicit import of petroleum, including crude oil and refined petroleum products to Libya,",10638,2644,Govt,['Government'],[-1],0,1
"Expressing its gravest concern at the ballistic missile launch by the Democratic Peoples Republic of Korea (the DPRK) on 28 November 2017 in violation of resolutions 1718 (2006), 1874 (2009), 2087 (2013), 2094 (2013), 2270 (2016) 2321 (2016), 2356 (2017), 2371 (2017), and 2375 (2017) and at the challenge such a test constitutes to the Treaty on Non-Proliferation of Nuclear Weapons (the NPT) and to international efforts aimed at strengthening the global regime of non-proliferation of nuclear weapons, and the danger it poses to peace and stability in the region and beyond,",10683,2397,Govt,['Government'],[-1],0,1
"Recalling its resolution 2117 (2013) and expressing concern at the threat to peace and security in Darfur arising from the illicit transfer, destabilising accumulation and misuse of small arms and light weapons, and the continued threats to civilians posed by unexploded ordnance, recognising the role of the Sudan-Chad Joint Border Force and the weapons-collection programme launched by the Government in this regard, and noting that the programme has contributed to the reduction in inter-communal violence and criminality,",11178,2429,SC,"['Government', 'Terrorists']","[1, -1]",0,1
"Emphasising that those responsible for violations of international humanitarian law and violations and abuses of human rights must be held accountable and that the Government of Sudan bears the primary responsibility to protect civilians, including women and children, within its territory and subject to its jurisdiction, including protection from crimes against humanity and war crimes,",11182,2429,Conflict parties,['Government'],[-1],1,1
"Condemns all violations of international humanitarian law and violations and abuses of human rights, including those involving any form of sexual and gender- based violence, in particular the deliberate targeting of civilians, indiscriminate or disproportionate attacks; and demands that all parties in Darfur immediately end attacks targeting civilians, peacekeepers and humanitarian personnel, and comply with their obligations under international human rights law and international humanitarian law as applicable and that the Government of Sudan hold perpetrators accountable;",11242,2429,Conflict parties,"['Conflict Parties', 'Government']","[-1, 0]",1,1
"Condemns in the strongest terms attacks on and threats made to UNMISS personnel and United Nations facilities, as well as those of IGAD, such as the August 2014 shooting down of a United Nations helicopter by unidentified armed groups, the August 2014 arrest and detention of an IGAD monitoring and verification team, the detentions and kidnappings of United Nations and associated personnel, and the repeated attacks on the UNMISS camps in Bor, Bentiu, Malakal and Melut, stresses that such attacks may constitute violations of the Status of Forces Agreement and/or war crimes, demands that all parties respect the inviolability of United Nations premises and immediately desist and refrain from any violence against those gathered at United Nations facilities, and further demands the immediate and safe release of detained and kidnapped United Nations and associated personnel;",11779,2223,Conflict parties,"['Conflict Parties', 'Peacekeeping']","[-1, 0]",1,1
"Recalling resolution 2214 (2015) and condemning the terrorist acts being committed in Libya by groups proclaiming allegiance to Islamic State in Iraq and the Levant (ISIL, also known as Daesh) including those committed by individuals, groups, undertakings and entities designated as associated with ISIL or Al-Qaida by the 1267/1989/2253 ISIL (Daesh) and Al-Qaida Sanctions Committee (the Committee) and further reiterating grave concern about the negative impact of their presence, violent extremist ideology and deadly actions in Libya, neighbouring States, and the region,",11955,2259,terrorists,['Terrorists'],[-1],1,1
"Noting reports of a decrease of public acts of violence and killings while expressing concern over reports of increased cases of forced disappearances and acts of torture expressing deep concern following the report from the Office of the High Commissioner on Human Rights (OHCHR) of 17 June 2016 (A/HRC/32/30), which documents 348 extrajudicial executions and about 651 cases of torture in Burundi between April 2015 and April 2016, committed mostly by the Burundian security forces as reported by OHCHR, and expressing concern over the significant number of arrest and detention cases involving children, who are often held in adult prisons,",12129,2303,Govt,['Government'],[-1],1,1
"Expressing deep concern at reports of misappropriation of funds that undermine the stability and security of South Sudan, and stressing that these activities can have a devastating impact on society and individuals, weaken democratic institutions, undermine the rule of law, perpetuate violent conflicts, facilitate illegal activities, divert humanitarian assistance or complicate its delivery, and undermine economic markets,",12252,2633,Conflict parties,['Conflict Parties'],[-1],1,1
"Expresses its concern about all violations of international humanitarian law and violations and abuses of human rights, including those involving sexual and gender-based violence in conflict, further calls upon all parties to comply with their obligations under international law, including international humanitarian law, as applicable, in relation to the protection of the civilian population, and civilian objects, and further reiterates the urgent and imperative need to hold accountable all those responsible for violations of international humanitarian law and violations and abuses of human rights, including the right to freedom of expression, including against journalists and other media professionals and associated personnel;",12474,2540,Conflict parties,['Conflict Parties'],[-1],1,1
"Condemning terrorists and terrorist groups, in particular the Islamic State in Iraq and the Levant (ISIL, also known as Daesh), Al-Qaida, and associated individuals, groups, undertakings, and entities, for ongoing and multiple criminal terrorist acts aimed at causing the deaths of innocent civilians and other victims, destruction of property, and greatly undermining stability,",12523,2322,Terrorists,['Terrorists'],[-1],1,1
"Deploring any attempt by the Houthis to take actions that are exclusively within the authority of the legitimate Government of Yemen, and noting that such actions are unacceptable,",12861,2216,Rebels,['Rebels'],[-1],1,1
"Expressing concern that Al-Shabaab continues to pose a serious threat to the peace and stability of Somalia and the region, and expressing concern at the emergence of, and growing threat of, affiliates of ISIL (also known as Daesh),",13082,2385,Terrorists,['Terrorists'],[-1],1,1
"Expresses concern at the continued reports of corruption and diversion of public resources which pose a risk to State-building efforts, expresses serious concern at reports of financial impropriety involving members of the FGS, FMS and Federal Parliament, which pose a risk to State-building efforts, and in this context underlines that individuals engaged in acts which threaten the peace and reconciliation process in Somalia may be listed for targeted measures;",13103,2385,Govt,['Government'],[-1],0,1
